question,ground_truth,contexts
How can you verify that the PhidgetAccelerometer is properly attached in Windows?,"Open the Phidget Control Panel, double-click Phidget Accelerometer 3-Axis, and check that the Attached field contains True.",['Double Click on Phidget Accelerometer 3-Axis in the Phidget Control Panel to bring up Accelerometer-full and check that the box labelled Attached contains the word True.']
How can the sensitivity of each accelerometer axis be adjusted?,The sensitivity for each axis can be adjusted by moving the appropriate slider.,['You can adjust the sensitivity for each axis by moving the appropriate slider.']
What happens when the accelerometer board is moved during testing?,The data changes to reflect the change in position along the three axes.,['Move the Accelerometer board and you should see the data change to reflect the change of position along the 3 axes.']
How do you test the PhidgetAccelerometer on Mac OS X?,"Open System Preferences, select Phidgets under Other, make sure the accelerometer is attached, and double-click Phidget Accelerometer 3-axis to open the Accelerometer-full example.","['Click on System Preferences >> Phidgets (under Other) to activate the Preference Pane', 'Make sure that the Phidget Accelerometer 3-axis is properly attached.', 'Double Click on Phidget Accelerometer 3-axis in the Phidget Preference Pane to bring up the Accelerometer-full example.']"
Are there sample programs written for Linux?,No. The manual states that there are no sample programs written for Linux.,['There are no sample programs written for Linux.']
What are the most popular programming languages mentioned for Linux?,The manual identifies C/C++ and Java as the most popular programming languages in Linux.,['The most popular programming languages in Linux are C/C++ and Java.']
What is the lowest-level Phidgets library?,The C API is the lowest-level library.,['The lowest level library is the C API.']
Why does each Phidget have a unique serial number?,"The unique serial number allows applications to distinguish and sort out individual devices at runtime, even when multiple Phidgets of the same type are connected.","['Every Phidget has a unique serial number - this allows you to sort out which device is which at runtime.', 'If you have more than one Phidget, even of the same type, their serial numbers enable you to sort them out at runtime.']"
What architecture is recommended for applications that need all data streaming from the device?,"The Phidget APIs are designed for an event-driven architecture, and applications that need all streamed data should use event handlers instead of polling.","['For full performance, the Phidget APIs are designed to be used in an event driven architecture. Applications that require receiving all the data streaming from the device will have to use event handlers, instead of polling.']"
What does the PhidgetWebService allow computers on a network to do?,It allows other computers on the network to communicate with Phidgets connected to a computer running the PhidgetWebService.,['The PhidgetWebService will allow other computers on the network to communicate with the Phidgets connected to that computer.']
What does the AxisCount function return?,The AxisCount function returns the number of axes on which the PhidgetAccelerometer can measure acceleration.,['Returns the number of axis this PhidgetAccelerometer can measure acceleration on.']
What units does the Acceleration function use?,"The Acceleration function reports acceleration in G, where 1 G is approximately 9.8 m/s².",['double Acceleration (int AxisIndex) [get] : Units = G (9.8m/s^2)']
What are the axis indexes for the PhidgetAccelerometer?,"Index 0 is the x-axis, index 1 is the y-axis, and index 2 is the z-axis.","['Index 0 is the x-axis, 1 is the y-axis, and 2 is the z-axis.']"
What acceleration does each axis measure when the accelerometer is stationary?,"At a standstill, each axis measures between -1.0 and 1.0 g depending on the device's orientation.",['At a standstill each axis will measure between -1.0 and 1.0 g’s depending on orientation.']
When is the AccelerationChangeTrigger event issued?,It is issued when acceleration varies by more than the AccelerationChangeTrigger property.,['An event that is issued when the Acceleration varies by more than the AccelerationChangeTrigger property.']
What event is generated when acceleration changes beyond the configured trigger?,The OnAccelerationChange event is issued when a change in acceleration is greater than the AccelerationChangeTrigger.,"['OnAccelerationChange (int AxisIndex, double Acceleration) [event]', 'An event issued when a change in acceleration occurs that is greater than the AccelerationChangeTrigger.']"
Which sensor is used internally by the PhidgetAccelerometer?,The internal sensor used is an Analog Devices ADXL330.,['The internal sensor used is an Analog Devices ADXL330.']
Can tilt angle be measured while the accelerometer is moving?,No. Tilt can only be measured when the accelerometer is stationary because movement combines with the device's physical orientation in the measured acceleration.,"['Tilt angle can only be measured when the 1056 is stationary.', 'When in motion, the acceleration experienced by the accelerometer is a combination of the device’s physical orientation, and the device’s movement, and the tilt can therefore not be determined.']"
What is the update rate of the PhidgetAccelerometer?,The update rate is 60 samples per second.,['Update Rate 60 samples/second']
What is the bandwidth of the PhidgetAccelerometer on the XYZ axes?,The bandwidth on the XYZ axes is 30 Hz.,['Bandwidth (XYZ Axis) 30Hz']
"What is the noise level of the X, Y, and Z axes?","The X-axis and Y-axis noise levels are 1.9 mG standard deviation, while the Z-axis noise level is 2.9 mG standard deviation.","['Axis 0 Noise Level (X Axis) 1.9mG standard deviation (σ)', 'Axis 1 Noise Level (Y Axis) 1.9mG standard deviation (σ)', 'Axis 2 Noise Level (Z Axis) 2.9mG standard deviation (σ)']"
What is the quiescent current consumption of the PhidgetAccelerometer?,The device quiescent current consumption is 20 mA.,['Device Quiescent Current Consumption 20mA']
What is the maximum active current consumption of the PhidgetAccelerometer?,The maximum active current consumption is 20 mA.,['Device Active Current Consumption 20mA max']
What is the operating temperature range of the PhidgetAccelerometer?,The operating temperature range is 0 to 70°C.,['Operating Temperature 0 - 70°C']
What acceleration values are expected when gravity acts along the positive x-axis?,"When gravity acts along the positive x-axis, Axis 0 is approximately +1G while Axis 1 and Axis 2 are approximately 0G.","['Axis 0 ≈ +1G', 'Axis 1 ≈ 0G', 'Axis 2 ≈ 0G']"
What acceleration values are expected when gravity acts along the negative z-axis?,"When gravity acts along the negative z-axis, Axis 0 and Axis 1 are approximately 0G while Axis 2 is approximately -1G.","['Axis 0 ≈ 0G', 'Axis 1 ≈ 0G', 'Axis 2 ≈ -1G']"
What acceleration values are used in the manual's tilt-angle example?,The example uses an x-axis acceleration of 0.25 g and a y-axis acceleration of -0.73 g.,['Axis Measure Acceleration (g): x 0.25; y -0.73']
What tilt angle does the manual calculate for an x-axis acceleration of 0.25 g and y-axis acceleration of -0.73 g?,The calculated tilt is 14.48° along the x-axis and -46.89° along the y-axis.,['Tilt = 14.48 ° ax - 46.89 ° ay']
When was the PhidgetAccelerometer product released according to the product history?,The product was released in January 2007 as Board Revision 0 and Device Version 120.,['January 2007 0 120 Product Release']
